id,player_api_id,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
173,528212,48,56,right,medium,medium,12,15,16,23,14,15,14,18,18,22,15,26,31,45,24,26,38,18,44,12,21,19,14,15,41,15,15,12,53,41,39,51,53
174,528212,48,57,right,medium,medium,12,15,16,23,14,15,14,18,18,22,15,26,31,45,24,26,38,18,44,12,21,19,14,15,41,15,15,12,53,41,39,51,53
175,528212,48,57,right,medium,medium,12,15,16,23,14,15,14,18,18,22,15,26,31,45,24,26,38,18,44,12,21,19,14,15,41,15,15,12,53,41,39,51,53
176,528212,48,57,right,medium,medium,12,15,16,23,14,15,14,18,18,22,15,26,31,45,24,26,38,18,44,12,21,19,14,15,41,15,15,12,53,41,39,51,53
177,528212,48,57,right,medium,medium,12,15,16,23,14,15,14,18,18,22,15,26,31,45,24,26,38,18,44,12,21,19,14,15,41,15,15,12,53,41,39,51,53
178,528212,48,57,right,medium,medium,12,15,16,23,14,15,14,18,18,22,15,26,31,45,24,26,38,18,44,12,21,19,14,15,41,15,15,12,53,41,39,51,53
179,528212,48,57,right,medium,medium,12,15,16,23,14,15,14,18,18,22,15,26,31,45,24,26,38,18,44,12,21,19,14,15,41,15,15,12,53,41,39,51,53
696,189181,69,74,right,medium,medium,12,11,13,34,14,15,15,14,25,17,42,40,57,71,52,19,66,31,75,12,18,24,11,24,20,19,20,12,70,63,63,70,75
697,189181,69,75,right,medium,medium,12,11,13,34,14,15,15,14,25,17,42,40,57,71,52,19,66,31,75,12,18,24,11,24,20,19,20,12,70,63,63,70,75
698,189181,69,76,right,medium,medium,12,11,13,34,14,15,15,14,25,17,42,40,57,71,52,19,66,31,75,12,18,24,11,24,20,19,20,12,70,63,63,70,75
699,189181,69,76,right,medium,medium,12,11,13,34,14,15,15,14,25,17,42,40,57,71,52,19,66,31,75,12,18,24,11,24,20,19,20,12,70,63,63,70,75
700,189181,67,74,right,medium,medium,12,11,13,34,14,15,15,14,25,17,42,32,57,71,52,19,66,31,75,12,18,24,11,24,20,19,20,12,66,63,62,65,75
701,189181,66,73,right,medium,medium,25,25,25,33,25,25,25,25,24,28,42,32,57,70,52,34,66,31,75,25,25,23,25,25,25,25,25,25,65,62,61,64,74
702,189181,66,73,right,medium,medium,25,25,25,33,25,25,25,25,24,28,42,32,57,70,52,34,66,31,75,25,25,23,25,25,25,25,25,25,65,62,61,64,74
703,189181,66,73,right,medium,medium,25,25,25,33,25,25,25,25,24,28,42,32,57,70,52,34,66,31,75,25,25,23,25,25,25,25,25,25,65,62,61,64,74
704,189181,66,76,right,medium,medium,25,25,25,33,25,25,25,25,24,28,42,32,57,70,52,34,66,31,75,25,25,23,25,25,25,25,25,25,65,62,61,64,74
705,189181,66,76,right,medium,medium,25,25,25,33,25,25,25,25,24,28,42,32,57,70,52,34,66,31,75,25,25,23,25,25,25,25,25,25,65,62,61,64,74
706,189181,66,76,right,medium,medium,25,25,25,33,25,25,25,25,24,28,42,32,57,70,52,34,66,31,75,25,25,23,25,25,25,25,25,25,65,62,61,64,74
707,189181,66,76,right,medium,medium,25,25,25,33,25,25,25,25,24,28,42,32,57,70,52,34,66,31,75,25,25,23,25,25,25,25,25,25,65,62,61,64,74
